ticker,exchange,assetType,priceCurrency,startDate,endDate
TC,NASDAQ,Stock,USD,11/20/18,8/11/20
TLSA,NASDAQ,Stock,USD,11/20/18,8/11/20
AMCIU,NASDAQ,Stock,USD,11/16/18,8/11/20
BWMCU,NASDAQ,Stock,USD,11/16/18,2/14/20
FTACU,NASDAQ,Stock,USD,11/16/18,8/11/20
CREXW,NASDAQ,Stock,USD,11/15/18,8/11/20
ESGRO,NASDAQ,Stock,USD,11/14/18,8/11/20
ETON,NASDAQ,Stock,USD,11/13/18,8/11/20
GLADD,NASDAQ,Stock,USD,11/13/18,8/11/20
TBLTU,NASDAQ,Stock,USD,11/13/18,11/21/19
USWS,NASDAQ,Stock,USD,11/12/18,8/11/20
SG,NASDAQ,Stock,USD,11/6/18,8/11/20
PAEWW,NASDAQ,Stock,USD,11/5/18,8/11/20
ALYA,NASDAQ,Stock,USD,11/2/18,8/11/20
AXNX,NASDAQ,Stock,USD,10/31/18,8/11/20
CNFRL,NASDAQ,Stock,USD,10/31/18,8/11/20
GDYNW,NASDAQ,Stock,USD,10/31/18,8/11/20
ORTX,NASDAQ,Stock,USD,10/31/18,8/11/20
PAE,NASDAQ,Stock,USD,10/31/18,8/11/20
TWST,NASDAQ,Stock,USD,10/31/18,8/11/20
GDYN,NASDAQ,Stock,USD,10/30/18,8/11/20
GMDA,NASDAQ,Stock,USD,10/26/18,8/11/20
OFSSZ,NASDAQ,Stock,USD,10/25/18,8/11/20
PT,NASDAQ,Stock,USD,10/25/18,8/11/20
STNE,NASDAQ,Stock,USD,10/25/18,8/11/20
ALACU,NASDAQ,Stock,USD,10/24/18,8/11/20
EDTXW,NASDAQ,Stock,USD,10/24/18,3/30/20
DDMXW,NASDAQ,Stock,USD,10/23/18,3/12/20
LOGC,NASDAQ,Stock,USD,10/19/18,8/11/20
NIU,NASDAQ,Stock,USD,10/19/18,8/11/20
OSMT,NASDAQ,Stock,USD,10/18/18,8/11/20
PHAS,NASDAQ,Stock,USD,10/18/18,8/11/20
TZAC,NASDAQ,Stock,USD,10/18/18,8/11/20
TZACW,NASDAQ,Stock,USD,10/18/18,8/11/20
EDTX,NASDAQ,Stock,USD,10/17/18,3/30/20
SIBN,NASDAQ,Stock,USD,10/17/18,8/11/20
LOAC,NASDAQ,Stock,USD,10/16/18,8/11/20
LOACR,NASDAQ,Stock,USD,10/15/18,8/11/20
LOACW,NASDAQ,Stock,USD,10/15/18,8/11/20
DDMXU,NASDAQ,Stock,USD,10/12/18,3/13/20
EQ,NASDAQ,Stock,USD,10/12/18,8/11/20
ALLO,NASDAQ,Stock,USD,10/11/18,8/11/20
ARYAU,NASDAQ,Stock,USD,10/5/18,7/1/20
CTACU,NASDAQ,Stock,USD,10/5/18,3/5/20
EDTXU,NASDAQ,Stock,USD,10/5/18,4/8/20
OCCI,NASDAQ,Stock,USD,10/5/18,8/11/20
GH,NASDAQ,Stock,USD,10/4/18,8/11/20
KOD,NASDAQ,Stock,USD,10/4/18,8/11/20
KPFS,NASDAQ,Stock,USD,10/4/18,7/8/19
PNRL,NASDAQ,Stock,USD,10/4/18,3/4/20
UPWK,NASDAQ,Stock,USD,10/3/18,8/11/20
FTDR,NASDAQ,Stock,USD,10/1/18,8/11/20
CBMB,NASDAQ,Stock,USD,9/28/18,8/11/20
GRTS,NASDAQ,Stock,USD,9/28/18,8/11/20
ARVN,NASDAQ,Stock,USD,9/27/18,8/11/20
STRO,NASDAQ,Stock,USD,9/27/18,8/11/20
UROV,NASDAQ,Stock,USD,9/27/18,8/11/20
ARCE,NASDAQ,Stock,USD,9/26/18,8/11/20
